item_code,call_number,coll_type_name,inventory_code,received_date,supplier_name,order_no,location_name,order_date,item_status_name,site,source,invoice,price,price_currency,invoice_date,input_date,last_update,title
5569,158.2,Text,5569,2011-08-03,,,100-199,,Available,,,,,IDR,,,,Ibu Bijak Menghasilkan Anak-Anak Hebat
7765,158.1,Text,7765,2023-08-25,,,100-199,,Available,,,,,IDR,,,,Tips Dan Trik Pribadi Yang Tenang
6022,150 JIH f,Text,6022,2013-05-24,,,100-199,,Available,,,,,IDR,,,,Follow Your Passion
5804,128 TIM k2,Text,5804,2012-04-17,,,100-199,,Available,,,,,IDR,,,,Kumpulan Kisah Inspiratif 2
4849,128 MOE t,Text,4849,2009-10-16,,,100-199,,Available,,,,,IDR,,,,Tumbuh Di Tengah Badai
3910,155.5 SIL h,Text,3910,2006-07-09,,,100-199,,Available,,,,,IDR,,,,"Hey Girls, Watch Out! How To Be Smart Girl"
4551,158.2,Text,4551,2009-03-02,,,100-199,,Available,,,,,IDR,,,,Buatlah Orang lain Merasa sangat Berharga 
4942,155.5 SAP p,Text,4942,2010-01-03,,,100-199,,Available,,,,,IDR,,,,pacaran AsyikDan Cerdas
3793,152.4 WIJ k,Text,3793,2004-09-25,,,100-199,,Available,,,,,IDR,,,,Keajaiban & Kekuatan Emosi
4866,155.5 MAS t,Text,4866,2008-08-12,,,100-199,,Available,,,,,IDR,,,,Panduan Bagi Cewek Untuk Mencintai Diri Sendiri
4499,158.2 NAI p,Text,4499,2008-05-08,,,100-199,,Available,,,,,IDR,,,,Pede Aja Lagi!!!
6092,155 BRO m,Text,6092,2013-09-30,,,100-199,,Available,,,,,IDR,,,,Menyembuhkan Patah Hati Dalam 30 Hari
233,153.8 GET m,Text,233,1984-08-06,,,100-199,,Available,,,,,IDR,,,,Mengungkapkan Rahasia Hidupnya Dalam Menjadi Kaya Raya
3842,155.5 MET s,Text,3842,2006-05-18,,,100-199,,Available,,,,,IDR,,,,Semua Tentang Teman
1711,150 TIM t,Text,1711,1993-08-24,,,100-199,,Available,,,,,IDR,,,,Tantangan Membina Kepribadian
4569,173 SUB t,Text,4569,2009-03-05,,,100-199,,Available,,,,,IDR,,,,Tangan Paling Cantik
2507,152.4 BAS j,Text,2507,2004-09-25,,,100-199,,Available,,,,,IDR,,,,Jejak-jejak Kebijaksanaan
4566,158.1 ZEN k,Text,4566,2009-03-02,,,100-199,,Available,,,,,IDR,,,,Kiat Sukses Mengikuti Sertifikasi Guru
4883,137 HEL m,Text,4883,2009-11-11,,,100-199,,Available,,,,,IDR,,,,Menguak Rahasia Tulisan Tangan & tanda Tangan
5657,153 WEB b,Text,5657,2011-07-23,,,100-199,,Available,,,,,IDR,,,,Belajar Mandiri
5781,155.6 WHA h,Text,5781,2012-04-11,,,100-199,,Available,,,,,IDR,,,,How To Have Great Relationships
3203,170 HER m2,Text,3203,2002-08-03,,,100-199,,Available,,,,,IDR,,,,Mutiara kehidupan 2
5337,158.2,Text,5337,2010-09-29,,,100-199,,Available,,,,,IDR,,,,Setengah Isi Setengah Kosong
6703,139.3 UTA k,Text,6703,2017-07-17,,,100-199,,Available,,,,,IDR,,,,Kisah Orang-Orang Capricon
5014,138 WOO s,Text,5014,2010-02-24,,,100-199,,Available,,,,,IDR,,,,Seni membaca Wajah
3560,177 WID c,Text,3560,2009-09-25,,,100-199,,Available,,,,,IDR,,,,Cinta Selayang Pandang Sebuah Tanya Jawab
4815,154.7 WAR h,Text,4815,2008-07-12,,,100-199,,Available,,,,,IDR,,,,Hipnotisme
2845,150 Har s,Text,2845,2000-12-11,,,100-199,,Available,,,,,IDR,,,,Stres Tanpa Distres ; Seni Mengolah Stres
3877,155.5 KWI t,Text,3877,2006-07-01,,,100-199,,Available,,,,,IDR,,,,Top Tips Buat Remaja Yang Gaul 'N Open Minded
5363,153 MEL a,Text,5363,2010-09-29,,,100-199,,Available,,,,,IDR,,,,Awareness : butir-Butir Mutiara Pencerahan
4693,128 LOS l,Text,4693,2008-07-02,,,100-199,,Available,,,,,IDR,,,,Law Of Attraction
223,150 GUN p,Text,223,1984-08-06,,,100-199,,Available,,,,,IDR,,,,Psikologi Anak Bermasalah
3909,155.3 MAS s,Text,3909,2006-07-09,,,100-199,,Available,,,,,IDR,,,,100 langkah Agar kamu Bisa Mencintai Diri kamu Sendiri
2553,152.4 HAR t,Text,2553,2004-09-25,,,100-199,,Available,,,,,IDR,,,,35 Cara Mengurangi Stres
4545,158.2 SHA w,Text,4545,2009-03-02,,,100-199,,Available,,,,,IDR,,,,Wisdom's Choice
4211,170 MAL a,Text,4211,2007-07-19,,,100-199,,Available,,,,,IDR,,,,A Pearl Of Wareness
6513,155.25 PAR p,Text,6513,2016-06-05,,,100-199,,Available,,,,,IDR,,,,Play With Smart
3295,152.4 AMO b,Text,3295,2002-09-16,,,100-199,,Available,,,,,IDR,,,,Brave : Berani
3297,152.4 AMO a,Text,3297,2002-09-16,,,100-199,,Available,,,,,IDR,,,,Angry : marah
3260,152.4 AMO k,Text,3260,2002-09-16,,,100-199,,Available,,,,,IDR,,,,Kind : Baik Hati
3272,152.4 AMO a,Text,3272,2002-09-16,,,100-199,,Available,,,,,IDR,,,,Afraid : Takut
3277,152.4 AMO r,Text,3277,2002-09-16,,,100-199,,Available,,,,,IDR,,,,Reliable : BertanggungJawab
3299,152.4 AMO c,Text,3299,2002-09-16,,,100-199,,Available,,,,,IDR,,,,Confident : Percaya Diri
3274,152.4 AMO l,Text,3274,2002-09-12,,,100-199,,Available,,,,,IDR,,,,Lonely : Rasa Sepi
3275,152.4 AMO h,Text,3275,2002-09-12,,,100-199,,Available,,,,,IDR,,,,Honest : Jujur
3276,152.4 AMO f,Text,3276,2002-09-12,,,100-199,,Available,,,,,IDR,,,,Fair : Adi
3273,152.4 AMO h,Text,3273,2002-09-12,,,100-199,,Available,,,,,IDR,,,,Hurt : Sakit hati
3271,152.4 AMO h,Text,3271,2002-09-12,,,100-199,,Available,,,,,IDR,,,,Happy : Gembira
3296,152.4 AMO j,Text,3296,2002-09-12,,,100-199,,Available,,,,,IDR,,,,Jealous : Iri hati
3259,152.4 AMO s,Text,3259,2002-09-12,,,100-199,,Available,,,,,IDR,,,,Sad : Sedih
6025,158.2 DUH t,Text,6025,2013-05-24,,,100-199,,Available,,,,,IDR,,,,The Power Of Habit : Dahsyatnya Kebiasaan
5075,131 GUN b,Text,5075,2010-04-12,,,100-199,,Available,,,,,IDR,,,,Becoming A Money Magnet
4543,155.2 BIS m,Text,4543,2009-03-02,,,100-199,,Available,,,,,IDR,,,,My Teens My Inspiration
4500,158.2 DEM p,Text,4500,2009-02-18,,,100-199,,Available,,,,,IDR,,,,Pentingnya Kesan Pertama
5343,158.4 Low h,Text,5343,2010-09-29,,,100-199,,Available,,,,,IDR,,,,Heroic Leadership
4542,177  BER k,Text,4542,2009-03-02,,,100-199,,Available,,,,,IDR,,,,Keprihatinan Moral
6637,177 TIM p,Text,6637,2017-04-07,,,100-199,,Available,,,,,IDR,,,,Persahabatan ku …
5052,128 GOR m,Text,5052,2010-04-06,,,100-199,,Available,,,,,IDR,,,,Menjadi Orangtua Efektif
3608,155.5,Text,3608,2009-10-16,,,100-199,,Available,,,,,IDR,,,,It's My Life 9Diary Plus Buat Remaja )
5283,177 HAR e,Text,5283,2010-09-16,,,100-199,,Available,,,,,IDR,,,,Etika Komunikasi
4497,177 BEH k,Text,4497,2009-02-18,,,100-199,,Available,,,,,IDR,,,,Kalau Putus Ya Putus Aja!
4502,158.2 GRA p,Text,4502,2009-02-18,,,100-199,,Available,,,,,IDR,,,,Practical Miracles For Mars & Venus
1668,170,Text,1668,1993-06-24,,,100-199,,Available,,,,,IDR,,,,Mengembangkan Kreativitas 
3597,153 CLA l2000,Text,3597,2004-10-16,,,100-199,,Available,,,,,IDR,,,,Langkah-Langkah Yang Teruji Menumbuhkan Rasa Percaya Diri Anak Anda
4875,158.2 CHR s,Text,4875,2009-10-16,,,100-199,,Available,,,,,IDR,,,,"Stop Katakan, ""Saya Sibuk!"""
4666,158.2 WEB t,Text,4666,2009-05-16,,,100-199,,Available,,,,,IDR,,,,7 Langkah Sederhana Untuk Mengubah Hidup Menjadi Lebih Bermakna
4803,153 HAR c,Text,4803,2008-07-12,,,100-199,,Available,,,,,IDR,,,,Cara pintar Lolos Psikotes
3594,155.5,Text,3594,2004-10-16,,,100-199,,Available,,,,,IDR,,,,harga Diri Remaja 
6852,150 TIM c,Text,6852,2017-07-17,,,100-199,,Available,,,,,IDR,,,,Cara Dodol Jadi Cowok Cool
5650,158.1 KAR m,Text,5650,2011-07-23,,,100-199,,Available,,,,,IDR,,,,Mindset revolution For Smart teens
7013,153 HAR s,Text,7013,2018-12-20,,,100-199,,Available,,,,,IDR,,,,101 Trik hancurkan Kebiasaan Buruk Dengan Kebiasaan Hebat
7046,158 BRA s,Text,7046,2019-06-10,,,100-199,,Available,,,,,IDR,,,,Si cacing Dan Kotoran Kesayangannya 2
6488,158 BRA s,Text,6488,2015-11-25,,,100-199,,Available,,,,,IDR,,,,Si cacing Dan Kotoran Kesayangannya 3
6545,128 TIM s,Text,6545,2016-08-05,,,100-199,,Available,,,,,IDR,,,,Secangkir Kopi Adem
6547,128 WIY s,Text,6547,2016-08-08,,,100-199,,Available,,,,,IDR,,,,Save Our Children From School Bullying
5341,173 BAT b,Text,5341,2010-09-29,,,100-199,,Available,,,,,IDR,,,,Born To Be Happy
5514,158.1,Text,5514,2011-03-03,,,100-199,,Available,,,,,IDR,,,,Kisah Keluarga Tikus
5651,158.2 CAH b,Text,5651,2011-07-23,,,100-199,,Available,,,,,IDR,,,,Belajar dari sahabat Muda
6521,158.2 DJA d,Text,6521,2016-06-05,,,100-199,,Available,,,,,IDR,,,,Dari kampung Jadi Diplomat Ulung
3548,155.2 PET i,Text,3548,2004-10-16,,,100-199,,Available,,,,,IDR,,,,I Love Me
4439,158.1 HIL k,Text,4439,2009-01-06,,,100-199,,Available,,,,,IDR,,,,Keys To Positive Thingking
698,170 SAR e,Text,698,1990-08-21,,,100-199,,Available,,,,,IDR,,,,Etiket Bergaul
5060,158.2 NUG m,Text,5060,2010-04-06,,,100-199,,Available,,,,,IDR,,,,Meditasi bagi para Eksekutif
4550,158.2 MAN m,Text,4550,2009-03-02,,,100-199,,Available,,,,,IDR,,,,Manajemen Emosi
6141,135 KAM m,Text,6141,2014-01-03,,,100-199,,Available,,,,,IDR,,,,Mitos-Mitos Dunia
6019,153 SUS p,Text,6019,2013-05-24,,,100-199,,Available,,,,,IDR,,,,Pemulihan Jiwa  : Kekuatan Ada Saat Aku Iklhas
854,150 KNY p,Text,854,1988-08-02,,,100-199,,Available,,,,,IDR,,,,Problem Yang Dihadapi Muda Mudi
5779,155.5 GUN p,Text,5779,2012-04-11,,,100-199,,Available,,,,,IDR,,,,Pertengkaran Bumbu Atau Racun Dalam Keluarga?
5778,155.5 GUN m,Text,5778,2012-04-11,,,100-199,,Available,,,,,IDR,,,,Membentuk Anak Perempuan Menjadi Wanita Dewasa
4503,158.2 KOL t,Text,4503,2008-05-08,,,100-199,,Available,,,,,IDR,,,,Tea Time For Heart & Mind
5089,155.6 PEL t,Text,5089,2010-04-15,,,100-199,,Available,,,,,IDR,,,,The Compleat Marriage
5459,153 AZZ m,Text,5459,2012-12-17,,,100-199,,Available,,,,,IDR,,,,Mengembangkan Kecerdasan Spiritual bagi Anak
5897,158 LIP n,Text,5897,2012-10-17,,,100-199,,Available,,,,,IDR,,,,Nikmati Hidup setiap hari Seolah Hari Terakhir Kita
4579,128 NAD j,Text,4579,2009-04-13,,,100-199,,Available,,,,,IDR,,,,Jurus Sehat Tanpa Ongkos
7102,128 EFF m,Text,7102,2019-09-11,,,100-199,,Available,,,,,IDR,,,,Mencapai Tujuan Hidup yang Sebenarnya 
3606,155.5 LIE s,Text,3606,2004-10-16,,,100-199,,Available,,,,,IDR,,,,101 cara Menumbuhkan Percaya Diri Anak
7104,155.4 QUR m,Text,7104,2019-09-11,,,100-199,,Available,,,,,IDR,,,,Motivation For Student Belajar Semangat Pada Nyamuk Yang Kecil
6865,131,Text,6865,2017-07-17,,,100-199,,Available,,,,,IDR,,,,Guyu Hidup Tenang Mati Senang
600,150 TAM m,Text,600,1988-07-30,,,100-199,,Available,,,,,IDR,,,,Mencegah Kenakalan remaja
5730,155.5 HAN c,Text,5730,2011-10-31,,,100-199,,Available,,,,,IDR,,,,Cara Jiyu Menjadi Remaja Berprestasi
6728,155 HIR a,Text,6728,2017-06-05,,,100-199,,Available,,,,,IDR,,,,Art Is Fun
4814,158,Text,4814,2008-07-12,,,100-199,,Available,,,,,IDR,,,,Ilmu Budaya dasar : Kumpulan essay manusia Dan Budaya
5460,158.1 JUN s,Text,5460,2010-12-17,,,100-199,,Available,,,,,IDR,,,,Smart In Personality
5220,155 APR k,Text,5220,2010-08-18,,,100-199,,Available,,,,,IDR,,,,kudidik Diriku Demi Mendidik Anakku
3719,155.2 BAC m,Text,3719,2005-10-07,,,100-199,,Available,,,,,IDR,,,,Make Your Dreams Come True
6468,128 TIM s,Text,6468,2015-11-25,,,100-199,,Available,,,,,IDR,,,,Semangat & Totalitas Membangun Negeri
5806,128 COU s,Text,5806,2012-04-17,,,100-199,,Available,,,,,IDR,,,,Shaneen Anjing Penyembuh keluarga
5629,155.4 KHA a,Text,5629,2011-05-21,,,100-199,,Available,,,,,IDR,,,,A+ Guys
6663,128 CAR h,Text,6663,2017-04-08,,,100-199,,Available,,,,,IDR,,,,How To Enjoy Your Life And Your Job
7222,108 TIM s,Text,7222,2020-08-11,,,100-199,,Available,,,,,IDR,,,,Semua karena Cinta
504,155.5 TIM r,Text,504,2004-09-25,,,100-199,,Available,,,,,IDR,,,,Remaja Tentang Hedonisme
3876,155.6 ENH a,Text,3876,2006-07-01,,,100-199,,Available,,,,,IDR,,,,A Wisdom For Adolescent
3927,155.5 WIS t,Text,3927,2013-07-13,,,100-199,,Available,,,,,IDR,,,,Tips Jitu Menjadi remaja Yang Gaul
3929,155.5 KWI s,Text,3929,2006-07-13,,,100-199,,Available,,,,,IDR,,,,Smart Tips For Smart teenagers
5205,155.5 YAH p,Text,5205,2010-07-21,,,100-199,,Available,,,,,IDR,,,,Pacaran Ada Sebalnya
4377,153 SUK p,Text,4377,2011-11-10,,,100-199,,Available,,,,,IDR,,,,Progressive Learning
855,150 KNY d,Text,855,1988-08-02,,,100-199,,Available,,,,,IDR,,,,Dunia Muda Mudi
5725,155.6 RUM t,Text,5725,2011-10-31,,,100-199,,Available,,,,,IDR,,,,Tuntunan Cerdas Menikmati Hari Tua
3681,150 HAR t,Text,3681,2005-05-11,,,100-199,,Available,,,,,IDR,,,,7 Perusak Pribadi manusia
4559,181.4 KRI m,Text,4559,2009-03-02,,,100-199,,Available,,,,,IDR,,,,Mengkuti Irama Kehidupan Tao The Ching bagi Orang Modern
3933,155.5 AGU b,Text,3933,2006-07-13,,,100-199,,Available,,,,,IDR,,,,Bete Abis!
3720,155.5 AGU h,Text,3720,2005-10-07,,,100-199,,Available,,,,,IDR,,,,Help Me : Konsultasi ABG
2555,158.1 WID k,Text,2555,2004-09-25,,,100-199,,Available,,,,,IDR,,,,Kiat Hidup Sykses
5082,137 TAU,Text,5082,2010-04-15,,,100-199,,Available,,,,,IDR,,,,Karakter & Potensi Melalui Tulisan Tangan
2848,153 HAR t,Text,2848,2000-12-11,,,100-199,,Available,,,,,IDR,,,,35 Cara mengurangi Stres
6624,154.6 SCH h,Text,6624,2017-02-13,,,100-199,,Available,,,,,IDR,,,,Hentikan Ngorok!!
705,170 CHA h,Text,705,1990-09-01,,,100-199,,Available,,,,,IDR,,,,Hidup Bersama Orang Lain
3114,170 KRI b,Text,3114,2002-01-02,,,100-199,,Available,,,,,IDR,,,,Bebas kekerasan
4799,133.8 KAT r,Text,4799,2009-08-26,,,100-199,,Available,,,,,IDR,,,,Ratapan Arwah
3736,155.5 GIS t,Text,3736,2005-10-07,,,100-199,,Available,,,,,IDR,,,,7 Mitos Pacaran
3861,158.4 WHI s,Text,3861,2006-05-31,,,100-199,,Available,,,,,IDR,,,,Sukses memimpin
4496,177 PAN j,Text,4496,2009-02-18,,,100-199,,Available,,,,,IDR,,,,Jomblo itu keren
-,170 PRI c,Text,-,1997-02-16,,,100-199,,Available,,,,,IDR,,,,Cari tau Sendiri
5726,158.2 OMI e,Text,5726,2011-10-31,,,100-199,,Available,,,,,IDR,,,,65 Cerita Tentang Kebahagiaan
6988,155.25 ZOUi,Text,6988,2018-11-10,,,100-199,,Available,,,,,IDR,,,,Ini Gue Suwer!!!
4428,153 DEE t,Text,4428,2009-01-05,,,100-199,,Available,,,,,IDR,,,,The Girl's Book Of Friendship
4580,158 MAX m,Text,4580,2009-04-13,,,100-199,,Available,,,,,IDR,,,,make To day Count
3997,155.5 BRO t,Text,3997,2006-07-25,,,100-199,,Available,,,,,IDR,,,,Tips Buat ABG Untuk Curhat Pada Ortu
4570,177 DEW c,Text,4570,2009-10-16,,,100-199,,Available,,,,,IDR,,,,Cinta Bukan Cokelat
,155.4 TIM p,Text,,2017-02-13,,,100-199,,Available,,,,,IDR,,,,pikiran Positif
6991,155.25 TIM b,Text,6991,2018-11-10,,,100-199,,Available,,,,,IDR,,,,buku Pintar Cewek
4529,155.2 CON a,Text,4529,2009-03-02,,,100-199,,Available,,,,,IDR,,,,Apa Kata Tuhan Tentang karakter
3495,158 WID s,Text,3495,2004-09-25,,,100-199,,Available,,,,,IDR,,,,10 Kiat Menjadi Bahagia
2722,131 HAR k,Text,2722,1994-11-05,,,100-199,,Available,,,,,IDR,,,,Kunci Mencapai Sukses
7256,158.4 TIM p,Text,7256,2010-10-08,,,100-199,,Available,,,,,IDR,,,,Psikology Kepemimpinan
7255,158.2 AMO m,Text,7255,2020-10-08,,,100-199,,Available,,,,,IDR,,,,Mengapa tidak Ramah?
7253,155.4 TIM f,Text,7253,2020-10-08,,,100-199,,Available,,,,,IDR,,,,Formasi Dasar Orantg Muda
7252,158 AUL k,Text,7252,2020-10-08,,,100-199,,Available,,,,,IDR,,,,Kupas Tuntas Menstruasi Dari A Sampai Z
7251,158 WES e,Text,7251,2020-10-08,,,100-199,,Available,,,,,IDR,,,,Effective Ateam Work
7250,177 mHER m,Text,7250,2020-10-08,,,100-199,,Available,,,,,IDR,,,,Mutiara Kehidupan 3
7249,158.4 JON y,Text,7249,2020-10-08,,,100-199,,Available,,,,,IDR,,,,Yesus Chief Executive Officer
7248,158 ULF i,Text,7248,2020-10-08,,,100-199,,Available,,,,,IDR,,,,Inspiiring Stories For Kids
7247,155.5 MAN j,Text,7247,2020-10-08,,,100-199,,Available,,,,,IDR,,,,Jadilah Dirimu Sendiri
7246,153 MUL v,Text,7246,2020-10-08,,,100-199,,Available,,,,,IDR,,,,Vitamins For Your Soul : Vitamin Bagi Jiwa
7245,150 SUM m,Text,7245,2020-10-08,,,100-199,,Available,,,,,IDR,,,,Membangun karakter 
7244,158.2 NOU b,Text,7244,2020-10-08,,,100-199,,Available,,,,,IDR,,,,Bisikan Cinta Tersembunyi
7243,153.8 PRA y,Text,7243,2020-10-08,,,100-199,,Available,,,,,IDR,,,,You Are What You Think
4659,158 OLI j,Text,4659,2020-10-08,,,100-199,,Available,,,,,IDR,,,,Jurus Untuk Jadi Cewek Kredibel
7241,158.2 WHE h,Text,7241,2020-10-08,,,100-199,,Available,,,,,IDR,,,,Hati ke hati Ragam Kisah tentang Persahabatan
7242,158.4 NAI a,Text,7242,2020-10-08,,,100-199,,Available,,,,,IDR,,,,A Higher Standard Of Leadership
6748,153 AGU e,Text,6748,2020-10-08,,,100-199,,Available,,,,,IDR,,,,Extreme Productivity : 
601,150 Har s,Text,601,2020-10-08,,,100-199,,Available,,,,,IDR,,,,Saya Kamu Oke
7144,155 PAT c,Text,7144,2020-10-08,,,100-199,,Available,,,,,IDR,,,,Change Anything
7141,153.8 ROB m,Text,7141,2020-10-08,,,100-199,,Available,,,,,IDR,,,,Man-Getsu
7138,158.1 HYA l,Text,7138,2019-10-29,,,100-199,,Available,,,,,IDR,,,,Living Forward A Proven Plan To Stop Drifing And Get The Life You Want
6533,128 TJA m,Text,6533,2016-08-05,,,100-199,,Available,,,,,IDR,,,,manusia Matahari
5314,154.7 HAK h,Text,5314,2010-09-27,,,100-199,,Available,,,,,IDR,,,,"Hipnoterapi  : Cara Tepat & Cepat Mengatasi stres, fabia, trauma, & gangguan Mental lainnya"
3591,155.5 ESP b,Text,3591,2004-10-16,,,100-199,,Available,,,,,IDR,,,,Buku pintar Remaja Gaul 
3497,128 MEN m,Text,3497,2004-09-25,,,100-199,,Available,,,,,IDR,,,,Menjadi Pribadi Utuh
6430,128 AGU k,Text,6430,2015-09-22,,,100-199,,Available,,,,,IDR,,,,Keseimbangan Totalitas
4658,158 CHA s ,Text,4658,2008-07-02,,,100-199,,Available,,,,,IDR,,,,100 Ways To Motivate Yourself
1984,170 SUS e,Text,1984,1994-10-11,,,100-199,,Available,,,,,IDR,,,,Etika Jawa : Sebuah Analisa Falsafi tentang Kebijaksanaan Hidup Jawa
5898,158.2 nSET i,Text,5898,2012-10-17,,,100-199,,Available,,,,,IDR,,,,I Believe I Can Fly!
5886,158.4 PUR c,Text,5886,2019-09-18,,,100-199,,Available,,,,,IDR,,,,calling To Lead : panggilan Untuk Memimpin
6863,153 BON e,Text,6863,2017-07-17,,,100-199,,Available,,,,,IDR,,,,How To Be More Interesting
4549,158.2 FAB b,Text,4549,2017-07-17,,,100-199,,Available,,,,,IDR,,,,Berbicara Agar Anak Mau Mendengar & Mendengar Agar Anak Mau Bicara
4499,158.2 TAL       t,Text,4499,2009-02-18,,,100-199,,Available,,,,,IDR,,,,The Black Swan
6682,158.1 PAT d,Text,6682,2017-05-23,,,100-199,,Available,,,,,IDR,,,,Dream And Destiny
4678,155 ASW r,Text,4678,2009-06-05,,,100-199,,Available,,,,,IDR,,,,Rahasia Cowok
276,153.2 GET c,Text,276,1984-08-06,,,100-199,,Available,,,,,IDR,,,,Cara Berusaha Menjadi Kaya
6707,153 TIM p,Text,6707,2017-07-17,,,100-199,,Available,,,,,IDR,,,,Personal Success Cockpit
7084,158 YEN b,Text,7084,2019-08-29,,,100-199,,Available,,,,,IDR,,,,Baca Buku Ini Saat Engkau Lelah
3579,155.6 WAL e,Text,3579,2004-09-25,,,100-199,,Available,,,,,IDR,,,,Expansive Marriage
4867,155.2 LAW m,Text,4867,2009-10-16,,,100-199,,Available,,,,,IDR,,,,Menjaga Otak Anda Tetap Hidup!
4501,158.2 GRA m,Text,4501,2009-02-18,,,100-199,,Available,,,,,IDR,,,,Mars'n Venus In Love
4685,158.1 WAL h,Text,4685,2008-07-02,,,100-199,,Available,,,,,IDR,,,,Hidup Tanpa Stres
3773,158.1 DEE t,Text,3773,2004-04-04,,,100-199,,Available,,,,,IDR,,,,The Girl's Book Of Success
5728,153 SUM t,Text,5728,2011-10-31,,,100-199,,Available,,,,,IDR,,,,The Secret & Ourose Driven Life
222,150 GUN p,Text,222,1984-08-06,,,100-199,,Available,,,,,IDR,,,,Psikologi Untuk Keluarga
7134,158.1 AST b,Text,7134,2019-10-26,,,100-199,,Available,,,,,IDR,,,,banyak jalan Menuju Hawaii
3845,155.5 ASG i,Text,3845,2006-06-22,,,100-199,,Available,,,,,IDR,,,,Ini Gue!
860,150 HID s,Text,860,1988-09-07,,,100-199,,Available,,,,,IDR,,,,surat-surat Pribadi Ilona
3831,155.5 IND  c,Text,3831,2006-04-11,,,100-199,,Available,,,,,IDR,,,,Cool Habits Of The Nexter-Gen
3076,150 SHI r,Text,3076,2001-12-11,,,100-199,,Available,,,,,IDR,,,,Rasa malu Sebagai Hambatan Kemajuan
4210,113.8 GIB s,Text,4210,2007-07-19,,,100-199,,Available,,,,,IDR,,,,Semua Karena Cinta
223,150 GUN p,Text,223,1984-08-06,,,100-199,,Available,,,,,IDR,,,,Psikologi Anak Bermasalah
5649,177 ABA b,Text,5649,2011-07-23,,,100-199,,Available,,,,,IDR,,,,Berani-Jadilah Dirihmu!
4844,128.5 YUN p,Text,4844,2009-09-04,,,100-199,,Available,,,,,IDR,,,,Pelangi Di Balik Reruntuhan Akibat Gempa 
5340,152.4 HAR b,Text,5340,2010-09-29,,,100-199,,Available,,,,,IDR,,,,be happy
5933,158 RIY m,Text,5933,2013-02-20,,,100-199,,Available,,,,,IDR,,,,Mau bahagia?
3203,170 HER m2,Text,3203,2002-08-03,,,100-199,,Available,,,,,IDR,,,,Mutiara Kehidupan 2
2846,150 HAR p,Text,2846,2000-12-11,,,100-199,,Available,,,,,IDR,,,,Perusak Pribadi manusia
2847,150CEN m,Text,2847,2000-12-11,,,100-199,,Available,,,,,IDR,,,,Mengapa Rendah Diri
5931,153.8 RIY m,Text,5931,2013-02-20,,,100-199,,Available,,,,,IDR,,,,Memotivasi Diri 
6515,158.1 DHI f,Text,6515,2016-06-05,,,100-199,,Available,,,,,IDR,,,,Fight Pray Hope
2547,158.2 COL m,Text,2547,2004-09-25,,,100-199,,Available,,,,,IDR,,,,"Me My Self, & You"
5731,155.6 WAL e,Text,5731,2011-10-31,,,100-199,,Available,,,,,IDR,,,,Expansive Marriage
5362,153 GRA s,Text,5362,2010-09-29,,,100-199,,Available,,,,,IDR,,,,Strategi Hidup
7277,155 LAI a,Text,7277,2020-10-14,,,100-199,,Available,,,,,IDR,,,,a Young Girl's Diary
4547,181.1 yua M2,Text,4547,2009-03-02,,,100-199,,Available,,,,,IDR,,,,Mutiara dari negeri China 2
6856,170 DHO s,Text,6856,2017-08-11,,,100-199,,Available,,,,,IDR,,,,Secangkir The Di Pagi Hari
7299,1730MCL t,Text,7299,2020-10-21,,,100-199,,Available,,,,,IDR,,,,Teenagers And parents
7298,158 SCH t,Text,7298,2020-10-21,,,100-199,,Available,,,,,IDR,,,,The Magic Of Thingking : 
7300,158 MAR s,Text,7300,2020-10-21,,,100-199,,Available,,,,,IDR,,,,1/2 Isi Kosong
7297,152.5 SET b,Text,7297,2020-10-21,,,100-199,,Available,,,,,IDR,,,,Belajar Bijak dari Binatang
3573,128 WAL r,Text,3573,2004-09-25,,,100-199,,Available,,,,,IDR,,,,Rahasia Kecil Kebahagiaan
6377,153 SUM r,Text,6377,2014-09-10,,,100-199,,Available,,,,,IDR,,,,Rahasia Menjadi Sisswa Unggul
5067,158.4 LEI l,Text,5067,2010-04-06,,,100-199,,Available,,,,,IDR,,,,Leading Your Team
4881,155.2 SHI k,Text,4881,2008-08-12,,,100-199,,Available,,,,,IDR,,,,Ketika Cinta Berbuah Surga
4665,158.2 SIT b,Text,4665,2009-05-16,,,100-199,,Available,,,,,IDR,,,,Berani Bermimpi
5461,152.1 ALA t,Text,5461,2010-12-17,,,100-199,,Available,,,,,IDR,,,,Tips Asah Ketajaman Konsentrasi Belajar Anak Setajam Silet
6626,128 TIM b,Text,6626,2017-02-13,,,100-199,,Available,,,,,IDR,,,,Berubah Atau Punah
3323,155.5 TIM e,Text,3323,2003-09-13,,,100-199,,Available,,,,,IDR,,,,EQ Remaja
3618,173 SUS a,Text,3618,2009-10-22,,,100-199,,Available,,,,,IDR,,,,Anak Saya Jenius
7267,153 GLE s,Text,7267,2020-10-09,,,100-199,,Available,,,,,IDR,,,,Sukses Karena Percaya
2473,155 HAR t,Text,2473,2001-10-17,,,100-199,,Available,,,,,IDR,,,,Tetap Oke
7164,158.2 SAL s,Text,7164,2019-12-21,,,100-199,,Available,,,,,IDR,,,,sahabat Sejati Kini Dan nanti
7165,131 MAJ s,Text,7165,2019-12-21,,,100-199,,Available,,,,,IDR,,,,Sukses Dari Diri Sendiri
