item_code,call_number,coll_type_name,inventory_code,received_date,supplier_name,order_no,location_name,order_date,item_status_name,site,source,invoice,price,price_currency,invoice_date,input_date,last_update,title
7571,070.1 TIM i,Serial,7571,10 Juni 2022,,,000-099,,Available,,,,,IDR,,2026-02-20,2026-02-20,Majalah Intisari Juni 2022
7574,070.1 TIM i,Serial,7574,25 Juli 2022,,,000-099,,Available,,,,,IDR,,2026-02-20,2026-02-20,Majalah Intisari Juli 2022
7576,070.1 TIM i,Serial,7576,20 Agustus 2022,,,000-099,,Available,,,,,IDR,,2026-02-20,2026-02-20,Majalah Intisari Agustus  2022
7652,070.1 TIM i,Serial,7652,2022-09-08,,,000-099,,Available,,,,,IDR,,2026-02-20,2026-02-20,Majalah Intisari September 2022
7653,070.1 TIM i,Serial,7653,1Oktober 2022,,,000-099,,Available,,,,,IDR,,2026-02-20,2026-02-20,Majalah Intisari Oktober 2022
7685,070.1 TIM i,Serial,7685,2022-11-02,,,000-099,,Available,,,,,IDR,,2026-02-20,2026-02-20,Majalah Intisari November 2022
7720,070.1 TIM i,Serial,7720,6 Februari2023,,,000-099,,Available,,,,,IDR,,2026-02-20,2026-02-20,Majalah Intisari Februari 2023
7745,070.1 T,Serial,7745,13 Maret 2023,,,000-099,,Available,,,,,IDR,,2026-02-20,2026-02-20,Majalah Intisari Maret 2023
,070.1 TIM i,Serial,,,,,000-099,,Available,,,,,IDR,,2026-02-20,2026-02-20,Majalah Intisari April  2023
7759,070.1 TIM i,Serial,7759,10 Agustus  2023,,,000-099,,Available,,,,,IDR,,2026-02-20,2026-02-20,Majalah Intisari Agustus 2023
7796,070.1 TIM i,Serial,7796,31 Oktober 2023,,,000-099,,Available,,,,,IDR,,2026-02-20,2026-02-20,Majalah Intisari Oktober 2023
7822,070.1 TIM i,Serial,7822,5 Desember 2023,,,000-099,,Available,,,,,IDR,,2026-02-20,2026-02-20,Majalah Intisari Desember  2023
7874,006.754 PER b,Text,7874,2024-04-17,,,000-099,,Available,,,,,IDR,,2026-02-20,2026-02-20,Buku Pintar Jadi Content Creator 
7873,005.36 TIM d,Text,7873,2024-04-17,,,000-099,,Available,,,,,IDR,,2026-02-20,2026-02-20,255 Tips&Trik Mudah Belajar Microsoft Excel
7883,030 TIM e,Reference,7883,2024-04-18,,,000-099,,Available,,,,,IDR,,2026-02-20,2026-02-20,Ensiklopedi Pencegahan Terorisme
7661,028 SUS s,Text,7661,3 Oktober 2022,,,000-099,,Available,,,,,IDR,,2026-02-20,2026-02-20,Strategi Meraih Nilai A Akreditasi Perpustakaan sekolah
5276,020 SAL m,Text,5276,2010-09-16,,,000-099,,Available,,,,,IDR,,2026-02-20,2026-02-20,Membangun Perpustakaan DiGITAL
7871,,Serial,7871,2024-04-05,,,000-099,,Available,,,,,IDR,,2026-02-20,2026-02-20,Majalah Intisari Bulan Februari 2024
7894,70,Serial,7894,2024-04-05,,,000-099,,Available,,,,,IDR,,2026-02-20,2026-02-20,Majalah Intisari APRIL 2024
7897,70,Serial,7897,21 Mei 2024,,,000-099,,Available,,,,,IDR,,2026-02-20,2026-02-20,Majalah Intisari Bulan Mei 2024
,,Serial,,Juni 2014,,,000-099,,Available,,,,,IDR,,2026-02-20,2026-02-20,Majalah Intisari Bulan Juni 2024
7953,028 TIM t,Text,7953,2024-11-08,,,000-099,,Available,,,,,IDR,,2026-02-20,2026-02-20,The Unbound Spirits: SMAK St. Albertus Malang
7916,070 TIM n,Text,7916,16 Agustus 2024,,,000-099,,Available,,,,,IDR,,2026-02-20,2026-02-20,National Geographic Indonesia Agustus 2024
7932,070 TIM n,Text,7932,2024-09-19,,,000-099,,Available,,,,,IDR,,2026-02-20,2026-02-20,National Geographic September 2024
7950,070 TIM n,Text,7950,30 Oktober 2024,,,000-099,,Available,,,,,IDR,,2026-02-20,2026-02-20,National Geographic Indonesia Oktober 2024
7952,70,Text,7952,2024-11-08,,,000-099,,Available,,,,,IDR,,2026-02-20,2026-02-20,National Geographic Indonesia November 2024
7968,70,Text,7968,17 Desember 2024,,,000-099,,Available,,,,,IDR,,2026-02-20,2026-02-20,National Geographic Indonesia Desember 2024
7970,70,Text,7970,20 Januari 2025,,,000-099,,Available,,,,,IDR,,2026-02-20,2026-02-20,National Geographic Indonesia Januari 2025
7977,70,Text,7977,5 Februari 2025,,,000-099,,Available,,,,,IDR,,2026-02-20,2026-02-20,National Geographic Indonesia Februari 2025
7738,030.9 WAS e,Reference,7738,28 Februari 2023,,,000-099,,Available,,,,,IDR,,2026-02-20,2026-02-20,Ensiklopedia Indonesia Provinsi Jawa Tengah
7739,030.9 WAS e,Reference,7739,28 Februari 2023,,,000-099,,Available,,,,,IDR,,2026-02-20,2026-02-20,Ensiklopedia Indonesia Provinsi Jawa Timur
6016,70,Text,6016,24 Mei 2013,,,000-099,,Available,,,,,IDR,,2026-02-20,2026-02-20,National Geographic Indonesia Traveler
7999,70,Text,7999,26 Maret 2025,,,000-099,,Available,,,,,IDR,,2026-02-20,2026-02-20,national Geographic Indonesia Maret 2025
8000,70,Text,8000,2025-04-15,,,000-099,,Available,,,,,IDR,,2026-02-20,2026-02-20,National Geographic Indonesia April 2025 Edisi Khusus 20 Tahun 
8007,5.1,Text,8007,2025-04-30,,,000-099,,Available,,,,,IDR,,2026-02-20,2026-02-20,Menguasai Pemrograman Arduino Dan Robotik
8010,5.36,Text,8010,2025-04-30,,,000-099,,Available,,,,,IDR,,2026-02-20,2026-02-20,Coreldraw 2019 untuk Pemula
8009,5.369,Text,8009,2025-04-30,,,000-099,,Available,,,,,IDR,,2026-02-20,2026-02-20,Kolaborasi data Antarprogram Microsoft Office 2021
8008,4.64,Text,8008,2015-04-30,,,000-099,,Available,,,,,IDR,,2026-02-20,2026-02-20,Mudah Membuat Aplikasi Android 
8006,30,Reference,8006,2015-04-30,,,000-099,,Available,,,,,IDR,,2026-02-20,2026-02-20,Ensiklopedia ilmuwan Fisika Abad 20
8004,30,Reference,8004,2015-04-30,,,000-099,,Available,,,,,IDR,,2026-02-20,2026-02-20,Ensiklopedia Alam Semesta & Luar Angkasa
7329,4,Text,7329,2020-11-06,,,000-099,,Available,,,,,IDR,,2026-02-20,2026-02-20,Learning More Formation & Communication Technology 3
8023,70,Text,8023,20 Juni 2025,,,000-099,,Available,,,,,IDR,,2026-02-20,2026-02-20,National Geographic Indonesia Juni 2025
8037,70,Text,8037,14 Juli 2025,,,000-099,,Available,,,,,IDR,,2026-02-20,2026-02-20,National Geograpich Indonesia Juli 2025
8049,70,Text,8049,11 Agustus 2025,,,000-099,,Available,,,,,IDR,,2026-02-20,2026-02-20,National Geographic Indonesia Agustus 2025
8060,70,Text,8060,2025-09-22,,,000-099,,Available,,,,,IDR,,2026-02-20,2026-02-20,National Geograpich September 2025
8091,6.6,Text,8091,2025-09-30,,,000-099,,Available,,,,,IDR,,2026-02-20,2026-02-20,Buku Pintar (Jadi) Content Creator 
8092,5,Text,8092,2025-09-30,,,000-099,,Available,,,,,IDR,,2026-02-20,2026-02-20,Desain dan Pemograman Drone Cerdas
8094,5,Text,8094,2025-09-30,,,000-099,,Available,,,,,IDR,,2026-02-20,2026-02-20,Koding & Kecerdasan Artifisial untuk kelas SMP 7 SMP/MTs
8095,3,Text,8095,2025-09-30,,,000-099,,Available,,,,,IDR,,2026-02-20,2026-02-20,Koding & Kecerdasan Artifisial untuk kelas SMP 8 SMP/MTs
8096,3,Text,8096,2025-09-30,,,000-099,,Available,,,,,IDR,,2026-02-20,2026-02-20,Kooding & Kecerdasan
8097,31,Reference,8097,2025-09-30,,,000-099,,Available,,,,,IDR,,2026-02-20,2026-02-20,Ensiklopedia Indonesia Provinsi Bali
8098,31,Reference,8098,2025-09-30,,,000-099,,Available,,,,,IDR,,2026-02-20,2026-02-20,Ensiklopedia Indonesia Provinsi Kalimantan Selatan
8099,31,Reference,8099,2025-09-30,,,000-099,,Available,,,,,IDR,,2026-02-20,2026-02-20,Ensiklopedia Indonesia Provinsi Kalimantan Barat 
8100,31,Reference,8100,2025-09-30,,,000-099,,Available,,,,,IDR,,2026-02-20,2026-02-20,Ensiklopedia indonesia Provinsi Kalimantan Tengah
